region,month,sales_units,sub_class
0001-MIDSOUTH,2023-01-01,10254.0,PVC PIPE
0001-MIDSOUTH,2023-02-01,11830.0,PVC PIPE
0001-MIDSOUTH,2023-03-01,16240.0,PVC PIPE
0001-MIDSOUTH,2023-04-01,14712.0,PVC PIPE
0001-MIDSOUTH,2023-05-01,15157.0,PVC PIPE
0001-MIDSOUTH,2023-06-01,15418.0,PVC PIPE
0001-MIDSOUTH,2023-07-01,11788.0,PVC PIPE
0001-MIDSOUTH,2023-08-01,12628.0,PVC PIPE
0001-MIDSOUTH,2023-09-01,16076.0,PVC PIPE
0001-MIDSOUTH,2023-10-01,10261.0,PVC PIPE
0001-MIDSOUTH,2023-11-01,9554.0,PVC PIPE
0001-MIDSOUTH,2023-12-01,9970.0,PVC PIPE
0001-MIDSOUTH,2024-01-01,10154.0,PVC PIPE
0001-MIDSOUTH,2024-02-01,11594.0,PVC PIPE
0001-MIDSOUTH,2024-03-01,16647.0,PVC PIPE
0001-MIDSOUTH,2024-04-01,13455.0,PVC PIPE
0001-MIDSOUTH,2024-05-01,13265.0,PVC PIPE
0001-MIDSOUTH,2024-06-01,14864.0,PVC PIPE
0001-MIDSOUTH,2024-07-01,11689.0,PVC PIPE
0001-MIDSOUTH,2024-08-01,10888.0,PVC PIPE
0001-MIDSOUTH,2024-09-01,14774.0,PVC PIPE
0001-MIDSOUTH,2024-10-01,10992.0,PVC PIPE
0001-MIDSOUTH,2024-11-01,9059.0,PVC PIPE
0001-MIDSOUTH,2024-12-01,10152.0,PVC PIPE
0001-MIDSOUTH,2025-01-01,8063.0,PVC PIPE
0001-MIDSOUTH,2025-02-01,10525.0,PVC PIPE
0001-MIDSOUTH,2025-03-01,14085.0,PVC PIPE
0001-MIDSOUTH,2025-04-01,10860.0,PVC PIPE
0001-MIDSOUTH,2025-05-01,10985.0,PVC PIPE
0001-MIDSOUTH,2025-06-01,14098.0,PVC PIPE
0001-MIDSOUTH,2025-07-01,10800.0,PVC PIPE
0001-MIDSOUTH,2025-08-01,10349.0,PVC PIPE
0001-MIDSOUTH,2025-09-01,12665.0,PVC PIPE
0001-MIDSOUTH,2025-10-01,9873.0,PVC PIPE
0001-MIDSOUTH,2025-11-01,6773.0,PVC PIPE
0001-MIDSOUTH,2025-12-01,7289.0,PVC PIPE
0001-MIDSOUTH,2026-01-01,8275.0,PVC PIPE
0001-MIDSOUTH,2026-02-01,10072.0,PVC PIPE
0001-MIDSOUTH,2026-03-01,1330.0,PVC PIPE
0001-MIDSOUTH,2023-01-01,238668.0,PVC FITTINGS
0001-MIDSOUTH,2023-02-01,276505.0,PVC FITTINGS
0001-MIDSOUTH,2023-03-01,399237.0,PVC FITTINGS
0001-MIDSOUTH,2023-04-01,361277.0,PVC FITTINGS
0001-MIDSOUTH,2023-05-01,361175.0,PVC FITTINGS
0001-MIDSOUTH,2023-06-01,408531.0,PVC FITTINGS
0001-MIDSOUTH,2023-07-01,306038.0,PVC FITTINGS
0001-MIDSOUTH,2023-08-01,284781.0,PVC FITTINGS
0001-MIDSOUTH,2023-09-01,333736.0,PVC FITTINGS
0001-MIDSOUTH,2023-10-01,218078.0,PVC FITTINGS
0001-MIDSOUTH,2023-11-01,194732.0,PVC FITTINGS
0001-MIDSOUTH,2023-12-01,286965.0,PVC FITTINGS
0001-MIDSOUTH,2024-01-01,255370.0,PVC FITTINGS
0001-MIDSOUTH,2024-02-01,269058.0,PVC FITTINGS
0001-MIDSOUTH,2024-03-01,407965.0,PVC FITTINGS
0001-MIDSOUTH,2024-04-01,339382.0,PVC FITTINGS
0001-MIDSOUTH,2024-05-01,361671.0,PVC FITTINGS
0001-MIDSOUTH,2024-06-01,422773.0,PVC FITTINGS
0001-MIDSOUTH,2024-07-01,304073.0,PVC FITTINGS
0001-MIDSOUTH,2024-08-01,270348.0,PVC FITTINGS
0001-MIDSOUTH,2024-09-01,327275.0,PVC FITTINGS
0001-MIDSOUTH,2024-10-01,224147.0,PVC FITTINGS
0001-MIDSOUTH,2024-11-01,189324.0,PVC FITTINGS
0001-MIDSOUTH,2024-12-01,296797.0,PVC FITTINGS
0001-MIDSOUTH,2025-01-01,239341.0,PVC FITTINGS
0001-MIDSOUTH,2025-02-01,285658.0,PVC FITTINGS
0001-MIDSOUTH,2025-03-01,410777.0,PVC FITTINGS
0001-MIDSOUTH,2025-04-01,302671.0,PVC FITTINGS
0001-MIDSOUTH,2025-05-01,314340.0,PVC FITTINGS
0001-MIDSOUTH,2025-06-01,403346.0,PVC FITTINGS
