sku_nbr,sku_name,sub_class,status,n_months,best_model_type,best_avg_mape,best_fold_mapes,n_successful_folds,best_params,n_candidate_models
142559,3/4_PVC_PTRAP_SPGXSPG,026-001-003-PVC FITTINGS,forecasted,38,prophet,5.799692050401887,"[np.float64(5.5565330222165334), np.float64(13.058431206761925), np.float64(1.6548242955967538), np.float64(2.9289796770323386)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'multiplicative'}",26
144745,1/2X3/4_PVC_FEMALE_ADAPTER_SXFPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,11.978397726047756,"[np.float64(20.92014694750395), np.float64(5.640265251842205), np.float64(12.275684110267816), np.float64(9.077494594577058)]",4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
145587,11/2_ABS_CAP_HUB,026-001-005-ABS FITTINGS,forecasted,38,prophet,3.3621930427449724,"[np.float64(6.367355920621849), np.float64(4.01440692134019), np.float64(1.7655432673035831), np.float64(1.3014660617142666)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
145590,2_ABS_CAP_HUB,026-001-005-ABS FITTINGS,forecasted,38,prophet,2.092832347532005,"[np.float64(2.876492993401218), np.float64(0.7020941689509966), np.float64(2.8330566356361544), np.float64(1.9596855921396514)]",4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",26
161038,1/2_CPVC_EL_90_DEG_SXS_10_PACK,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,6.3332074113599965,"[np.float64(8.326150589644827), np.float64(3.958376951535382), np.float64(3.861772932768173), np.float64(9.186529171491602)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
173065,2_ABS_EL_90_DEG_STREET_HXSPG,026-001-005-ABS FITTINGS,forecasted,38,prophet,2.8141638759854493,"[np.float64(3.3467649041865712), np.float64(1.9999874403851103), np.float64(2.3489812141490307), np.float64(3.560921945221084)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
187658,1/2_CPVC_TEE_SXSXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,7.042979300877774,"[np.float64(11.188627308249293), np.float64(4.665930289613299), np.float64(7.08262581471414), np.float64(5.234733790934367)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
187666,3/4_CPVC_TEE_SXSXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,5.635898581290235,"[np.float64(9.320584427367198), np.float64(2.62111314982794), np.float64(5.094374911528065), np.float64(5.507521836437734)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187674,1/2_CPVC_EL_90_DEG_SXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,7.3356622745835445,"[np.float64(6.100409141216376), np.float64(4.7173617167180115), np.float64(7.9689645505189795), np.float64(10.555913689880809)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
187682,3/4_CPVC_EL_90_DEG_SXS,026-001-013-CPVC FITTINGS,forecasted,38,prophet,8.575688867716712,"[np.float64(18.49367090290012), np.float64(4.988516608474644), np.float64(6.600729485566735), np.float64(4.219838473925348)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
187690,1/2_CPVC_EL_45_DEG_SXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,10.537679305028332,"[np.float64(5.280030595435878), np.float64(6.465008826606318), np.float64(3.8400744186704903), np.float64(26.565603379400642)]",4,"{'order': (1, 1, 0), 'seasonal_order': (0, 1, 0, 12)}",26
187704,3/4_CPVC_EL_45_DEG_SXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,5.376478677938094,"[np.float64(6.093554109202063), np.float64(3.7240832099339176), np.float64(1.7344666557270179), np.float64(9.953810736889375)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187712,1/2_CPVC_COUPLING_SXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,6.247747105266984,"[np.float64(5.321450563289479), np.float64(0.9938955753407247), np.float64(4.742692531745199), np.float64(13.932949750692533)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187720,3/4_CPVC_COUPLING_SXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,5.113990995889093,"[np.float64(8.045412027633079), np.float64(2.3040996493148507), np.float64(1.8031206638333668), np.float64(8.303331642775076)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187739,1/2_CPVC_MALE_ADAPTER_SXMPT,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,4.755257729316423,"[np.float64(5.552351119039914), np.float64(1.4275216829644564), np.float64(4.520635833648457), np.float64(7.520522281612864)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187747,3/4_CPVC_MALE_ADAPTER_SXMPT,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,5.827186900212509,"[np.float64(7.344838380814698), np.float64(6.7603174980729), np.float64(5.379224158838325), np.float64(3.8243675631241127)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187755,3/4X1/2_CPVC_COUPLING_SXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,7.668548386647956,"[np.float64(7.441224555731857), np.float64(7.47993540046812), np.float64(4.955028788103264), np.float64(10.79800480228858)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187763,1/2_CPVC_CAP_SLIP,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,6.9519427683637804,"[np.float64(11.985725614642465), np.float64(1.771485613194167), np.float64(4.559007659836001), np.float64(9.49155218578249)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
187771,3/4_CPVC_CAP_SLIP,026-001-013-CPVC FITTINGS,forecasted,38,prophet,7.0049949225437045,"[np.float64(9.343606371071656), np.float64(10.171659126696026), np.float64(1.0972019826717259), np.float64(7.407512209735407)]",4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive'}",26
187909,1/2_PVC_TEE_SXSXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,11.419646285155384,"[np.float64(22.299048535314647), np.float64(3.456082710758659), np.float64(10.569843535123107), np.float64(9.35361035942513)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",26
