Part number,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,1/1/2026,2/1/2026,3/1/2026
618110,31225.88498,32379.89411,41094.11307,31568.35485,28960.61113,34700.71295,26614.88549,27027.18146,35911.63815,27228.49283,27831.64307,46177.16773,32668.60126,31453.7028,38126.87212,29480.10951,28949.48238,33594.86866,27400.36452,27250.13164,36178.51137,30406.04393,29869.0491,49919.13226,32579.16176,31902.88734,39742.3601,29669.0318,28057.57864,33775.0817,26654.13889,26269.63986,33763.55599,26595.84055,25471.46271,38963.61263,36287.05109,31438.83455,3324.009765
839700,4690.227004,5517.424098,7956.595501,8105.328287,8332.538354,9137.562479,6086.217086,5502.290292,6288.220167,4350.041877,4246.921505,5084.027451,4758.54254,5228.977034,8442.737111,8233.029632,8632.668123,8924.34482,5676.437289,5160.420391,5991.437213,4545.413738,3981.16232,5599.108921,4501.439999,5908.223841,8744.128794,8653.316996,8201.227393,8797.343403,6143.757661,5052.629053,5845.626384,4036.911218,3764.498468,4458.040894,4536.386764,5624.65448,650.6240155
2390576,23145.77497,25263.89435,42520.40836,36246.12301,35297.90091,50617.87224,35488.95985,32087.42396,36049.80297,26137.5335,22294.92712,28785.87085,23206.58797,26783.886,39343.73237,35870.15412,39298.27266,48364.01717,35881.57848,31151.29615,37700.27573,28964.16381,25104.56686,34462.25989,24831.73027,29304.14371,44894.04171,36135.79055,36828.567,46748.35359,32291.46686,28540.67854,33438.37645,24597.90009,20264.7505,26932.25331,25656.84913,30536.43278,3467.462557
2471273,6242.861153,7000.49174,10129.00761,10058.40017,11038.61666,18222.39534,12686.64864,10151.7031,10409.61183,6212.648088,6176.525578,7191.611234,5976.730804,6990.137467,10495.20254,11154.60246,12692.2543,18000.19575,13610.7269,10211.01885,10563.68241,7037.856549,6082.436134,7890.093703,6095.889939,7188.443247,10993.28983,9836.512511,12582.86517,16232.99447,12233.59406,10092.48704,10610.57632,5788.738215,5378.542877,7005.426241,6111.043467,8185.845815,1089.47603
2962243,26257.79743,29759.68536,43654.87384,38628.42422,35207.0497,39283.96592,28981.27985,26915.95661,32977.61943,23252.62352,22871.1724,30220.63769,24297.3013,27125.67759,40079.74182,34447.14759,34110.89745,36621.76311,26084.69237,24238.46889,30365.86022,23374.61347,21274.90994,30437.43052,22295.86274,26710.9598,37505.49793,31410.72516,30424.61893,35015.45278,24831.77241,22265.27666,28555.96352,20730.36228,17793.81064,23396.63905,22134.41663,25612.57128,2705.098103
2004292052,23293.48442,27466.4033,42798.90193,41160.64665,40175.62081,43216.7457,25693.26611,25652.07492,38507.16988,23117.85463,19629.1129,25971.77091,21027.85932,24463.22384,34666.57649,33837.61035,35698.48026,38165.57525,22373.72766,23450.16726,34492.36575,21607.55047,18266.3391,26405.05063,18377.10615,25071.20492,37310.84154,35687.76661,35922.26594,36051.94562,24793.65228,24267.28984,38908.45702,22428.83694,19030.93453,26501.82024,20737.24991,28279.6936,3287.041901
2007907281,11212.07442,13179.3296,21600.14918,19022.90534,19098.23997,24774.50279,18498.50863,16767.9152,18960.96519,13021.86639,11906.46873,14450.61155,12241.46515,14680.19875,21811.83018,20594.96018,21389.24121,25456.21865,18700.81465,16775.35109,19367.20725,14365.76645,12204.41664,17760.64877,13718.71325,13869.50411,20337.6776,16951.05397,17826.98425,21749.65514,16618.67441,14873.1663,17000.50805,11408.49256,10406.51392,13510.4579,14609.73473,18696.66339,2350.426859
2009093244,14427.61807,16204.86166,23457.31118,21231.61225,22284.82418,24082.08503,15451.0738,15312.10209,21042.00732,12886.05137,11745.25394,14372.56637,12134.71048,13600.20417,19015.02041,18358.42074,19162.62003,20148.9718,13051.46665,12928.5814,18367.75232,12418.88323,10669.18813,16277.52645,10783.03274,12607.82603,19567.15501,17640.40789,18296.98804,19011.05469,13343.16589,13232.4214,18387.00174,12070.91806,10025.6447,13990.32436,10497.01613,13862.88711,1393.315263
3011860931,7272.750049,8124.074627,13811.34561,12323.16171,11936.15853,15104.05424,11040.61786,9918.455672,11902.49794,8176.4175,7028.890126,8251.265112,7049.990698,9071.273027,13790.01287,12692.87833,12778.37455,14788.96542,10536.85972,10012.96507,12317.25942,8729.324579,7222.491228,10227.85485,7941.861102,9541.042447,14548.38133,12384.44111,12047.83645,14175.43799,10810.97878,10177.05099,12199.75305,7568.215269,6759.29623,8750.712555,8668.987234,11079.43749,1305.272644
3012297196,6857.673767,7554.269252,13097.30051,12348.30946,11473.82817,14364.38653,10822.92446,9342.371261,10289.23577,7062.026225,6334.74657,8385.548852,6815.581232,8618.707949,12715.48607,11963.14679,12234.78381,14367.93561,10413.7176,8992.045577,10374.37709,7499.335997,6449.350995,9681.544483,7547.110016,10195.20772,15550.85323,12522.85672,12521.83694,15098.20476,11368.1777,10255.37758,11587.85844,7754.796895,6740.541227,9205.255101,9247.70982,11822.24979,1390.60225
